Jurisdiction,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
State/Territory,Financial Incentives,Home Energy Support Program (ACT) ,Current,"The Home Energy Support Program provides eligible homeowners in the ACT with rebates of up to $5,000 to assist with the upfront costs of installing energy-efficient products. Homeowners can receive up to $2,500 (50% of installation costs) for rooftop solar, and an additional $2,500 for energy-efficient appliances, such as reverse cycle heating and cooling systems, hot water heat pumps, electric stoves, ovens, and ceiling insulation. ",Homeowners,Rebate,"Up to $5,000 in rebates:
$2,500 for rooftop solar (50% of installation costs).
$2,500 for energy-efficient appliances (e.g., reverse-cycle heating and cooling systems, hot water heat pumps, electric stoves, ovens, and ceiling insulation).","To be eligible for a rebate, you must:

be a resident of the ACT
hold an Australian Government Pensioner Concession Card, Department of Veterans' Affairs Gold Card, or an Australian Government Health Care Card
own and live in the home where the product will be installed
have attended a free online Everyday Climate Choices workshop
have an Unimproved Value (UV) at or below:
$750,000 at the time of application in any year from 2022 for freestanding homes/units and dual occupancies. For unit titled freestanding properties this is based on the unit entitlement percentage.
$300,000 in any year from 2022 for unit titled multi-story apartments.",March 2022,Unsure ,ACT Government - Climate Choices Program.,This program aligns with the ACT’s goal to achieve net zero emissions by 2045.,,"Email: homeenergysupport@act.gov.au
Phone: 1300 141 777 ",https://www.climatechoices.act.gov.au/policy-programs/home-energy-support-rebates-for-homeowners
State/Territory,Low-Income and Social Housing Initiatives,Home Energy Efficiency Program (ACT),Current,"This program provides free assistance to people experiencing financial hardship, helping them to reduce energy and water usage and improve home comfort. Delivered by St Vincent de Paul, the program offers in-home assessments, an information kit with energy-saving tips, and support with draught-proofing. Eligibility is based on meeting National Rental Affordability Scheme (NRAS) income limits or holding specific concession cards.",ACT residents experiencing financial hardship.,Free in-home assessments and support.,N/A,"You can take part in the program if you meet the National Rental Affordability Scheme (NRAS) income limits, or if you hold a:

Centrelink Pensioner Concession Card
Low Income Health Care Card
Veterans' Affairs Pensioner Concession Card.",Unsure,Unsure ,St Vincent de Paul in collaboration with the ACT Government,"Helps reduce energy and water usage, improve home comfort, and support vulnerable residents.",,"Phone: 6234 7408
Email: energyefficiency@vinnies-cg.org.au
",https://www.climatechoices.act.gov.au/policy-programs/home-energy-efficiency-program
State/Territory,Retailer Energy Efficiency Obligations,Energy Efficiency Improvement Scheme (ACT) ,Current,"The Energy Efficiency Improvement Scheme (EEIS) requires electricity retailers in the ACT to implement or fund energy-saving programs aimed at reducing greenhouse gas emissions and lowering energy costs for households and businesses. Tier 1 retailers, such as ActewAGL, must deliver energy-saving activities, like appliance upgrades, to households and small-to-medium businesses. Tier 2 retailers can choose to either implement eligible activities or make a financial contribution to the ACT Government, which funds further energy efficiency initiatives.",Households and small-to-medium businesses in the ACT,Energy-saving programs and initiatives,depends on the type of energy-saving activity or program,"Available to residential and commercial electricity customers in the ACT.

Specific criteria vary depending on the program or activity offered.",Initially in 2013 under the Energy Efficiency (Cost of Living) Improvement Act 2012 which requires Electricity retailers to help households and small-to-medium businesses save energy,Unsure ,ACT Government in collaboration with Tier 1 and Tier 2 electricity retailers,"Reduces greenhouse gas emissions and energy costs.

Supports ACT’s target of net-zero emissions by 2045.

Encourages the adoption of energy-efficient practices across households and businesses.",,"Energy Efficiency Improvement Scheme
Email: EPD-EEIS@act.gov.au",https://www.climatechoices.act.gov.au/policy-programs/energy-efficiency-improvement-scheme
State/Territory,Low-Income and Social Housing Initiatives,Home Energy Support: Public Housing Program (ACT),Current,"Upgrades to over 5,000 public homes in the ACT to receive energy-efficiency upgrades. The upgrades are part of the ACT Government’s $35.2 million Home Energy Support: Public Housing Program. 

$300 million of this package is helping to fund upgrades to 60,000 public homes across Australia.
",Public housing tenants in the ACT,Energy-efficiency upgrades for public housing,N/A,Specific criteria vary depending on the program or activity offered.,Unsure,"Ongoing, as per the timeline of the broader Energy Savings Package",ACT Government in coordination with the Australian Government,"Enhances energy efficiency in public housing.

Improves living standards for tenants while reducing energy costs.

Supports ACT’s commitment to emissions reductions and energy sustainability.",This investment is part of the $1.7 billion Energy Savings Package announced in the 2023-24 Budget.,Unsure ,https://www.energy.gov.au/news-media/news/energy-efficiency-upgrades-act-public-homes
State/Territory,Solar and Battery Systems,Solar for Multi Dwellings Grant Scheme (NT),Current,"This program supports unit/apartment owners in multi-dwelling developments in the Northern Territory by providing grants to install shared rooftop solar PV systems. Eligible unit management corporations can receive up to $7,500 per individual dwelling, covering up to 50% of installation costs for solar systems, necessary technology, and, where relevant, smart meters and batteries.
",Unit/apartment owners in multi-dwelling developments in the Northern Territory,Grant ,"Up to $7,500 per individual dwelling, covering up to 50% of installation costs for solar systems, smart meters, batteries, and other relevant technology","Management corporations or other shared property management entity can apply.

Additional criteria:

Works must be situated on common property and supply power behind the meter.
Works must supply power to a minimum of two (2) dwellings. 
The works must limit the electricity supplied to the building's common areas (if connected) to the equal proportion available to each participating dwelling. 
Costs and benefits of the installation must be equitably shared among participating dwellings.
The works must comply with Australian Standards and Northern Territory legislation and meet all connection requirements and have the required approvals from the Power and Water Corporation.
It is recommended that applicants propose shared solar PV systems that connect to all Dwellings, including those that are rented. Management corporations should engage both owner occupiers and owner investors on the benefits of the Scheme and encourage their participation. This ensures that all residents can fairly benefit from the Scheme and may help to reduce shared installation costs.

",24/10/2024 12:30PM (ACST) ,30 June 2025 5:30 PM (ACST),"Northern Territory Government – Department of Industry, Tourism and Trade","Reduces electricity costs for residents of multi-dwelling developments.

Encourages renewable energy adoption in shared housing setups.

Contributes to NT’s renewable energy goals.",The Scheme is funded by the Australian Government through its Community Solar Banks program,,https://territoryrenewableenergy.nt.gov.au/programs#Solar-for-Multi-Dwellings-Grant-Scheme
State/Territory,Financial Incentives,Home and Business Battery Scheme (NT),Current,"Launched in 2020, this scheme offers grants to Northern Territory homeowners and businesses for purchasing and installing solar PV systems and batteries. Grants are available up to $6,000, or $450 per kWh of battery capacity, to help households and businesses maximize solar energy use, enhance grid stability, and reduce energy costs.
",Homeowners and businesses in the Northern Territory,Grant,"Up to $6,000 per grant or $450 per kWh of battery capacity","You can only submit one application per property and per homeowner.

You can apply if you're:

a registered owner of a residential property in the NT
a registered NT business
a not-for-profit or community organisation operating in the NT in either owned or leased premises.
The property can be owner-occupied or used as an investment, but there can only be one application per property and per homeowner.

If you're a homeowner and also own a business, you can apply for one grant for your home and one for your business.",Unsure,Unsure ,"NT Department of Industry, Tourism and Trade","Maximises solar energy use for households and businesses.

Enhances grid stability and reduces energy costs.

Encourages renewable energy adoption in the NT.",,1800 193 111 or emailing businessprograms.ditt@nt.gov.au.,https://nt.gov.au/industry/business-grants-funding/home-and-business-battery-scheme
State/Territory,Solar and Battery Systems,Feed-in Tariff (NT),Current,"The Feed-in Tariff program allows rooftop solar owners to earn credits from electricity retailers by exporting excess solar power to the grid. This setup incentivises solar adoption by providing compensation for surplus energy, either through direct export or charging an on-site battery.
",rooftop solar owners,Feed-in Tariff ,Depend,"Must be a customer of an eligible electricity retailer in the NT.

Must own and operate a rooftop solar PV system.

Systems must meet compliance and installation standards as per the NT regulations.
",Unsure ,Unsure ,"NT Department of Industry, Tourism and Trade in collaboration with electricity retailers","Incentivises renewable energy adoption.

Reduces reliance on grid electricity by promoting solar energy generation.

Provides financial benefits to solar owners.","Rates can differ between customers and regions, depending on electricity retailers",sustainableenergy.ditt@nt.gov.au,https://territoryrenewableenergy.nt.gov.au/programs#Solar-for-Multi-Dwellings-Grant-Scheme
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
International,Thermal Efficiency Upgrades,"Ireland - One Stop Shop Service (National Home Energy Upgrade Scheme)
",Current,"A One Stop Shop provides a complete home energy upgrade service, managing all aspects including the initial assessment, Sustainable Energy Authority of Ireland (SEAI) grant application, project management, contractor assignment, and follow-up assessment. The aim is to bring properties up to a minimum B2 BER rating with significant energy improvements.",Private Homeowners,Financial Grant,"Maximum grant amount of €40,750 for a detached house, covering eligible upgrades like heat pump systems, solar PV, insulation, etc.","Property built before 2011, existing BER of B3 or lower, must achieve B2 or better after upgrades, and must not have previously received grants for the same upgrades.",February 2022,N/A,SEAI (Sustainable Energy Authority of Ireland),"Ireland’s homes are responsible for one quarter of our overall energy use and 10% of our overall greenhouse gas (GHG) emissions. Reducing the amount of energy and fossil fuels we use in our homes is an important part of the government’s Climate Action Plan. Ireland also has targets under EU legislation to improve our energy efficiency by 2020 and 2030. These targets are set out in the National Energy Efficiency Action Plan (NEEAP) , the draft Ireland’s National Energy and Climate Plan 2021-2030 and the Long Term Renovation Strategy. ",Standalone grant of €350 available for Home Energy Assessment; some One Stop Shops provide financing options through their partners.,"Sustainable Energy Authority of Ireland
3 Park Place
Hatch Street
Dublin 2
D02 FX65
Email: info@seai.ie",https://www.seai.ie/grants/home-energy-grants/one-stop-shop/
International,Thermal Efficiency Upgrades,Ireland - Individual Home Energy Upgrade Grants (formerly Better Energy Homes and Solar PV),Current,"This scheme offers a step-by-step approach for home energy upgrades, allowing flexibility to complete different upgrades over time. Applicants select an SEAI registered contractor and apply for grants through an online system. Payments are made upon project completion.","Private Homeowners, Owner Management Companies (OMCs)",Financial Grant,"Up to €2,100 for solar PV installation, €1,200 for solar water heating, €700 for heating controls, and grants for various types of insulation",Homeowners or OMCs for properties in multi-unit developments. Eligibility based on SEAI requirements for the specific energy upgrade.,2023,N/A,SEAI (Sustainable Energy Authority of Ireland),As above,"Does not include grants for windows or doors; additional grants for heat pump systems, insulation, and solar energy systems are available.","Sustainable Energy Authority of Ireland
3 Park Place
Hatch Street
Dublin 2
D02 FX65
Email: info@seai.ie",https://www.seai.ie/grants/home-energy-grants/individual-grants/
International,Low-Income and Social Housing Initiatives,Ireland - Fully Funded Energy Upgrade,Current,"As an energy poverty programme, this scheme provides a wide range of home energy upgrades fully funded by the government and the EU. The scheme targets low-income homeowners receiving specific welfare payments and covers upgrades like insulation and heating systems.",Private homeowners receiving welfare payments,Financial Grant,N/A,"1. Own and live in the home, 2. Home built and occupied before 2006, 3. Must receive one of the eligible welfare payments (e.g., Fuel Allowance, Job Seekers Allowance, Working Family Payment, etc.).",2002,N/A,SEAI (Sustainable Energy Authority of Ireland),As above,"Co-funded by the Government of Ireland and the EU (ERDF). Longer waiting period applies, and SEAI provides a BER assessment if one is not already in place. 
Long waiting period (over two years), provides significant energy savings and improved home comfort for low-income households.","Sustainable Energy Authority of Ireland
3 Park Place
Hatch Street
Dublin 2
D02 FX65
Email: info@seai.ie",https://www.seai.ie/grants/home-energy-grants/fully-funded-upgrades-for-eligible-homes/
International,Low-Income and Social Housing Initiatives,New Zealand - Renewable Energy Fund,Current,"Established in August 2020, this $28 million fund trials small-scale renewable energy technologies for Māori and public housing. It aims to lower energy bills, improve energy efficiency, and create warmer, healthier homes. Projects focus on renewable energy generation and improving local energy resilience while supporting Māori energy businesses. The majority of installations are expected to be completed by 2024.",Māori and public housing tenants,Funding for renewable energy,"NZ$28 million for public and Māori housing, shared approximately equally.","Projects must focus on Māori or public housing, improve energy efficiency, and support renewable energy use. Community energy independence, resilience, and supporting Māori energy businesses are additional objectives.",2020,2024,"Ministry of Business, Innovation, and Employment, Kāinga Ora, Te Puni Kōkiri, Energy Efficiency and Conservation Authority, Ministry of Housing and Urban Development
","In 2023, $2 million from the $46 million Community Renewable Energy Fund was used to boost the final Māori Housing Renewable Energy funding round for large-scale projects. Kāinga Ora aims to install solar panels on 750 public homes by 2024.","Authority's objectives: Health benefits, reduced energy costs, energy independence, and lower greenhouse gas emissions through decreased reliance on diesel generators. Trials will provide insights for future large-scale renewable energy projects.

Kāinga Ora, officially Kāinga Ora – Homes and Communities, is a Crown agency that provides rental housing for New Zealanders in need

Te Puni Kōkiri is the principal policy advisor of the Government of New Zealand on Māori wellbeing and development.","Ministry of Business, Innovation, and Employment
Email info@mbie.govt.nz
Phone: +64 4 901 1499",https://www.mbie.govt.nz/building-and-energy/energy-and-natural-resources/low-emissions-economy/energy-efficiency-in-new-zealand/maori-and-public-housing-renewable-energy-fund
International,Financial Incentives,New Zealand - Community Renewable Energy Fund (CREF),Current,"The New Zealand government established the $28 million Community Renewable Energy Fund to support renewable energy projects that enhance community resilience by helping communities access secure, renewable, and affordable energy. The fund supports innovative projects focused on storing and distributing locally generated electricity, with an emphasis on regions affected by natural disasters and climate change.","Communities, especially remote areas and regions affected by natural disasters",Renewable energy funding,"$28 million for community-based projects, with $6.5 million allocated to regions impacted by Cyclone Gabrielle and other 2023 severe weather events.","Eligibility criteria will be finalised later in 2024. Current projects target community buildings used in emergency responses (e.g., marae, places of worship, schools, and community halls).",2023,N/A,"Ministry of Business, Innovation and Employment (MBIE), in collaboration with local authorities, Civil Defence Emergency Management, and community groups",,"Non-contestable funding round for emergency-response community buildings. Additional sites to receive funding by mid-2024. Builds on the success of the Māori and Public Housing Renewable Energy Fund.

Early funding of $1.12 million awarded to 5 projects in 2023. Solar PV and battery systems installed in 70 community buildings to support resilience during civil defence events.","Ministry of Business, Innovation, and Employment
Email info@mbie.govt.nz
Phone: +64 4 901 1499",https://www.mbie.govt.nz/building-and-energy/energy-and-natural-resources/low-emissions-economy/energy-efficiency-in-new-zealand/maori-and-public-housing-renewable-energy-fund
International,Heating and Cooling Upgrades,New Zealand - Warmer Kiwi Homes Programme,Current,The Warmer Kiwi Homes Programme covers up to 90% of the costs of purchasing and installing insulation and efficient heating systems for eligible homeowners.,Homeowners in low-income areas or with a Community Services Card,Co-funding for home insulation and heating systems,"Covers 80-90% of ceiling and underfloor insulation costs, and up to 80% of approved heater costs (capped at $3,000 incl. GST). Some areas receive additional funding from community organisations.","Home built before 2008, not a rental property.

Homeowner must have a Community Services Card or live in a designated low-income area.

Insulation must meet EECA standards.

No existing fixed heaters (e.g., heat pumps, wood burners, flued gas) in the home.",N/A,Always open,Energy Efficiency and Conservation Authority (EECA),"150,000+ installations to date across New Zealand, improving home comfort and reducing energy bills for thousands of families. The expanded eligibility criteria in August 2023 added 58,000 more homeowners to the eligible pool.","Insulation must be installed to EECA standards. Wall insulation is not included, and grants may not be available in some remote locations or islands. Timeline for installation may take up to 4 months due to supply chain constraints",Warmer Kiwi Homes tool or call 0800 749 782,https://www.eeca.govt.nz/co-funding-and-support/products/warmer-kiwi-homes-programme/
International,Financial Incentives,Scotland - Home Energy Scotland Grant and Loan Scheme,Current,"The Home Energy Scotland Grant and Loan Scheme provides funding to homeowners for energy-saving improvements, including insulation, heating systems, and renewable energy technologies. It aims to reduce energy bills and improve energy efficiency for households. Eligible homeowners can receive up to £15,000 as a grant, with additional interest-free loans available for those needing extra financial assistance.",Homeowners in Scotland,Grant and Loan,"Up to £7,500 for energy efficiency improvements and up to £7,500 for clean heating systems. 

Rural households may receive an additional £1,500 for each category.","Homeowner must live in the home and it must be their primary residence. - Property must be located in Scotland. - Improvements must be recommended in the Energy Performance Certificate (EPC), Home Energy Improvement Report, or Home Renewable Selector Report.",N/A,N/A,"Home Energy Scotland, an organisation funded by the Scottish Government and managed by Energy Saving Trust. ",Helps reduce energy bills and improve the warmth and efficiency of homes. Supports Scotland’s goals for tackling fuel poverty and the climate emergency.,Funding may vary based on the improvements and location of the property. Rural households may be eligible for additional funding. Application through Home Energy Scotland.,phone: 0808 808 2282 – Monday to Friday 8am to 8pm and Saturday 9am to 5pm,https://www.homeenergyscotland.org/home-energy-scotland-grant-loan
International,Low-Income and Social Housing Initiatives,Scotland - Warmer Homes Scotland Scheme,Current,"The Warmer Homes Scotland Scheme helps homeowners and private rental tenants to improve their home’s energy efficiency. Funded by the Scottish Government, the scheme covers measures like insulation, heating systems, and renewables, often fully funded for eligible applicants. The programme targets fuel poverty and ensures homes are warmer and healthier.",Homeowners and private tenants,"Fundings for:
wall insulation
loft insulation
draught-proofing
central heating – including new gas boilers or air source heat pumps
renewables","Worth £10,000 or more

Full funding (for most) or interest-free loans to cover any additional costs","Need to have lived in your home for at least 6 months, unless you’re terminally ill. 

Cannot apply if you've been supported by Warmer Homes Scotland since October 2023.

Home must be the main residence. 

Household must include someone over 75, terminally ill, or receiving certain benefits.

Home must be rated poorly for energy efficiency (checked by Warmer Homes Scotland). Council tax band must be A to F.",N/A,N/A,"Home Energy Scotland, an organisation funded by the Scottish Government and managed by Energy Saving Trust. ","Reduces energy costs and fuel poverty by improving the energy efficiency of homes for vulnerable groups. Expected to deliver warmer, healthier homes and lower energy bills for households.","Application must be made through Home Energy Scotland, which will assess eligibility. Applicants who have already received funding since October 2023 cannot reapply. Self-assessment tools are available to check eligibility.",phone: 0808 808 2282 – Monday to Friday 8am to 8pm and Saturday 9am to 5pm,https://www.homeenergyscotland.org/warmer-homes-scotland
International,Solar and Battery Systems,Scotland - Special Geographic Battery Subsidies,Current,"Warmworks, a private subsidiary, has been awarded funding from SP Energy Networks’ Green Economy Fund to install battery storage technology in approximately 150 off-gas homes in Dumfries and Galloway. This initiative supports the Scottish Government's climate and energy goals by targeting electrically heated homes that are hard to heat affordably. The project focuses on making energy bills more manageable through domestic energy storage.",Homeowners in Dumfries and Galloway with off-gas homes,Battery storage subsidies,Total £1.25million from Green Economy Fund,Properties owned by Dumfries and Galloway Housing Partnership (DGHP). The homes must be electrically heated and difficult to heat affordably.,N/A,N/A,"SP Energy Networks, Warmworks",Aims to improve residents’ quality of life by making energy bills more manageable. It also helps shape Scotland’s future energy network by integrating domestic energy storage technologies.,Funded by ScottishPower’s Green Economy Fund (part of Iberdrola Group). This project is a significant step toward a low-carbon economy and improving energy efficiency in hard-to-heat homes.,"SP Energy Networks

https://www.spenergynetworks.co.uk/pages/contact_us.aspx",https://www.spenergynetworks.co.uk/
International,Energy Efficiency Legislation,The United States (New York) - Local Law 87 (LL87),Current,"Mandates that buildings over 50,000 square feet undergo an energy audit and retro-commissioning every ten years, as part of New York City's Greener, Greater Buildings Plan (GGBP). Aims to inform building owners of their energy consumption and help ensure optimal performance of energy systems.","Owners of buildings over 50,000 sq ft",Energy audit and retro-commissioning,N/A,"Buildings must be over 50,000 square feet and follow a schedule where the last digit of the year corresponds with the last digit of the building’s tax block number.",N/A,N/A,New York City Council,"Improves energy efficiency in large commercial, mixed-use, and residential buildings, which constitute 45% of citywide energy use.","Law mandates annual benchmarking of energy and water use, with public disclosure. Non-residential spaces must upgrade lighting to meet energy codes and install electrical meters/sub-meters.","Central Office
Tel. 212-720-3300 
Fax 212-720-3488",https://www.nyc.gov/html/gbee/html/plan/ll87.shtml
International,Financial Incentives,The United States (California/Florida /Missouri) - Property Assessed Clean Energy (PACE) ,Current,"PACE programs allow property owners to finance energy efficiency, renewable energy, and other eligible improvements with no upfront costs. The repayment is tied to the property, not the owner, through a special assessment on the property tax bill over a 10-20 year period.",Homeowners owners,Property tax-based financing,Varies by project size and state regulations,"Property owners voluntarily participate; typically enabled by state legislation and administered at the local level. The debt is attached to the property, transferring upon sale if agreed by the new owner and mortgage holder.	",N/A,N/A,Administered by The Office of State and Community Energy Programs ND state and local governments or public-private partnerships,"Helps overcome the disincentive of upfront costs for energy improvements. Homeowners and property owners can finance upgrades through property tax bills, with the repayment obligation tied to the property.","Residential PACE financing programs are currently available in the following states:
California (10 active programs)
Florida (4 active programs)
Missouri (3 active programs).

Residential PACE programs have faced concerns from federal agencies like the Federal Housing Finance Agency (FHFA) and the Federal Housing Administration (FHA), which have restricted the use of federally insured mortgages on properties with PACE liens due to the senior-lien status of PACE assessments. This has been a major issue in states like California, where Residential PACE is active. California has responded by implementing more stringent consumer protection measures, addressing issues such as lien priority and ensuring that homeowners are better protected when participating in these programs.","The Office of State and Community Energy Programs 

Visit Energy Saver's contact form to submit questions and comments about saving energy at home.

The.Secretary@hq.doe.gov ",https://www.energy.gov/scep/slsc/property-assessed-clean-energy-programs
International,Energy Efficiency Legislation / Instruments,The United States - Inflation Reduction Act – Energy Efficiency Credits,Current,"Provides federal income tax credits for homeowners to cover up to 30% of the costs of energy-efficient home upgrades. Homeowners can receive up to $3,200 annually for energy efficiency improvements and an additional 30% tax credit for clean energy systems like solar panels and geothermal pumps. The credit is available through 2032 and will step down to 22% by 2034.",Homeowners,Federal tax credit,"Up to $3,200 annually for energy efficiency improvements, 30% for clean energy systems.","Homeowners must install eligible energy-efficient or clean energy systems, including rooftop solar, geothermal heat pumps, and battery storage. The credits are available through 2032 and will reduce to 22% after that.",2022,2032,Internal Revenue Service,"Reduces the cost of energy-efficient and clean energy home upgrades, encouraging wider adoption of renewable energy systems.",The Inflation Reduction Act tax credits are part of a broader effort to reduce emissions and increase energy efficiency nationwide. The credits support both energy efficiency and clean energy installations like rooftop solar.,N/A,https://www.irs.gov/credits-deductions/home-energy-tax-credits
International,Low-Income and Social Housing Initiatives,The United States - Weatherization Assistance Program (WAP),Current,"Provides energy efficiency improvements to low-income households, ensuring health and safety while reducing energy costs. It includes support for insulation, heating and cooling equipment, and energy-efficient windows. WAP helps around 35,000 homes annually, with savings of over $372 per year for each household. Over 7 million families have been assisted since 1976.",Low-income households,Energy efficiency upgrades,N/A,"Low-income households are eligible for energy efficiency improvements, including insulation, heating/cooling systems, and energy-efficient windows, based on DOE program guidelines.",1976,N/A,Department of Energy,"Provides significant energy savings for low-income families, reducing energy costs by an average of $372 per year. The program supports 8,500 jobs annually.","WAP has weatherized over 7 million homes since its inception, making it one of the longest-running energy assistance programs in the U.S.","Department of Energy
The Secretary of Energy: The.Secretary@hq.doe.gov
By Phone: 202-586-5000",https://www.energy.gov/scep/wap/weatherization-assistance-program
International,Energy Efficiency Legislation / Instruments,The United States (California) - Senate Bill 350 – Clean Energy and Pollution Reduction Act,Current,Senate Bill 350 directs the California Energy Commission to set annual targets for energy efficiency savings to double by 2030. The bill also mandates state agencies to reduce barriers to clean energy adoption in disadvantaged communities. This is part of California's broader effort to achieve significant pollution reduction and transition to a cleaner energy grid.,California residents,Legislative mandate,N/A,"The act applies statewide, setting annual targets for energy efficiency and emission reductions in electricity and natural gas use. State agencies must also conduct studies to reduce barriers to clean energy adoption in disadvantaged communities.",2015,2030,"California Energy Commission, California Public Utilities Commission","California aims to achieve a statewide doubling of energy efficiency savings by 2030, with a particular focus on clean energy adoption in disadvantaged communities.",Senate Bill 350 is a critical part of California's broader strategy to reduce pollution and promote clean energy through legislative mandates and state agency collaboration.,"California Energy Commission

https://www.energy.ca.gov/contact",https://www.energy.ca.gov/
International,Heating and Cooling Upgrades,The UK - The Energy Company Obligation (ECO),Current,"The Energy Company Obligation (ECO) is a government energy efficiency scheme that places an obligation on medium and large energy suppliers to deliver energy efficiency measures to low-income, fuel-poor, and vulnerable households. The scheme has undergone several iterations, with ECO4 starting in April 2022 and running until 2026. ECO4 focuses on whole house retrofits, including insulation, renewable energy, and heating system upgrades.","Low-income, fuel-poor, and vulnerable households",Energy efficiency upgrades,"Varies based on measures installed (e.g., insulation, heating systems, renewables) ","Households must meet income, vulnerability, or energy performance criteria. Medium and large energy suppliers must meet efficiency targets by improving homes.",2022,2026,The Office of Gas and Electricity Markets,Improves energy efficiency and reduces energy bills for low-income households. Supports the UK's climate goals by reducing carbon emissions.,ECO4 focuses on whole-house retrofits. Measures must be installed by obligated energy suppliers. Funding targets vulnerable households to improve energy performance.,"The Office of Gas and Electricity Markets

consumeraffairs@ofgem.gov.uk

020 7901 7295",https://www.ofgem.gov.uk/environmental-and-social-schemes/energy-company-obligation-eco
International,Low-Income and Social Housing Initiatives,The UK - Great British Insulation Scheme,Current,"The Great British Insulation Scheme delivers rapid energy efficiency improvements to homes with an Energy Performance Certificate rating of D-G. It supports low-income and vulnerable households but is also available to wider households in Council Tax bands A-D in England and A-E in Scotland and Wales. The scheme focuses on single energy efficiency measures, such as insulation, to improve home energy performance.","Low-income, vulnerable, and homes with EPC ratings D-G",Single energy efficiency measures,N/A,"Households must have an EPC rating of D-G and be in designated Council Tax bands. The scheme is available to low-income and vulnerable households, as well as wider households within the Council Tax eligibility.",2022,2026,The Office of Gas and Electricity Markets,"Helps improve energy efficiency for homes in the lower EPC bands, with a focus on insulation. Aims to reduce energy costs and improve home comfort.",The scheme delivers single measures instead of whole-house retrofits and is open to a wider pool of households. Insulation is the primary measure targeted.,"The Office of Gas and Electricity Markets

consumeraffairs@ofgem.gov.uk

020 7901 7295",https://www.ofgem.gov.uk/environmental-and-social-schemes/energy-company-obligation-eco
International,Financial Incentives,The UK - Green Homes Grant,Historical,"The Green Homes Grant provided vouchers to homeowners and landlords to cover up to two-thirds of the cost of energy efficiency improvements. Low-income households could receive up to 100% coverage, with a maximum government contribution of £10,000. This grant aimed to encourage energy-efficient home improvements, including insulation and renewable energy systems. The scheme closed in 2023.","Homeowners, landlords (private and social sector)",Grant for energy-efficient upgrades,"Up to £5,000 for most households, £10,000 for low-income households with full rebate",Homeowners and landlords could apply. Benefits such as eligibility for 100% coverage were offered to those on low incomes or receiving certain benefits.,2020,2023,UK Government,Helped households install energy-efficient upgrades and reduced energy costs. Provided a significant subsidy for low-income households to improve their energy performance.,The scheme ended in 2023. Landlords and homeowners could apply for vouchers to cover up to two-thirds of the cost of energy efficiency improvements. Up to 100% rebate for concession holders.,UK Government,https://www.gov.uk/guidance/apply-for-the-green-homes-grant-scheme
International,Financial Incentives,The UK - Green Deal,Historical,"The Green Deal allowed homeowners to finance energy efficiency upgrades through on-bill financing, where the cost was attached to the property and repaid through energy bills. This allowed for energy efficiency retrofits with no upfront cost, with the debt staying with the property rather than the occupant. The scheme ended in 2015.",Homeowners and tenants,On-bill financing,Amount varied based on energy efficiency retrofits,Property owners and tenants could apply for financing to cover the cost of energy efficiency upgrades. Repayments were tied to the property and included in energy bills.,2013,2015,UK Government,"Provided financing for energy efficiency upgrades without upfront costs. Allowed property owners to repay the financing over time through their energy bills, attaching the debt to the property.",The scheme closed in 2015. This approach helped address concerns about upfront costs for energy efficiency improvements. The financing stayed with the property when it was sold.,UK Government,https://www.gov.uk/green-deal-energy-saving-measures
International,Financial Incentives,Italy - Superbonus 110,Historical,"The Superbonus 110 allowed homeowners to claim tax subsidies for energy efficiency improvements, including insulation systems, heat pumps, solar panels, and boiler replacements. The subsidy could be claimed through tax deductions over five years, or transferred to contractors or banks in exchange for an immediate reduction in costs. The scheme played a key role in boosting energy-efficient renovations.",Homeowners,Tax subsidy,110% of eligible energy efficiency improvement costs covered through tax deductions or transfer of tax credit,"Homeowners could claim the subsidy by subtracting eligible costs from tax returns, or by transferring the tax credit to contractors or financial institutions.",2020,2023,Italian Government,"Helped incentivize widespread energy efficiency improvements in residential buildings, leading to significant energy savings.","The scheme was highly successful, but was phased out in 2023. The program allowed homeowners to transfer tax credits to contractors or banks, increasing flexibility.",Italian Government,https://www.agenziaentrate.gov.it/portale/web/english/superbonus-110
